2002.578 0.0386	0.0213
2003.447 0.0385	0.07011
2003.455 0.0393	0.0733
2004.511 0.0330	0.11911
2004.516 0.0333	0.1206
2004.574 0.0315	0.1206
2005.268 0.0265	0.1389
2006.490 0.0141	0.1596
2006.584 0.0137	0.1609
2006.726 0.0129	0.1627
2006.800 0.0107	0.1633
2007.205 0.0064	0.16811
2007.214 0.0058	0.168?
2007.255 0.0069	0.1691
2007.455 0.0047	0.1709
2008.145 -0.0076 0.1775
2008.197 -0.0082 0.1780
2008.268 -0.0084 0.1777
2008.456 -0.0118 0.1798
2008.598 -0.0126 0.180?
2008.708 -0.0127 0.1806
2009.299 -0.0216 0.1805
2009.334 -0.0218 0.1813
2009.501 -0.0233 0.1803
2009.605 -0.0266 0.1800
2009.611 -0.0249 0.1806
2009.715 -0.0260 0.1804
2010.444 -0.0347 0.1780
2010.455 -0.0340 0.1774
2011.400 -0.0430 0.1703
2012.374 -0.0518 0.1617
2013.488 -0.0603 0.1442
2015.581 -0.0690 0.1010
