0	-122.183 -161.907 49.7462
1	-102.686 -185.741 57.0693
2	-82.0386 -207.51 63.7579
3	-60.6076 -227.317 69.8437
4	-38.6855 -245.305 75.3705
5	-16.4967 -261.632 80.3869
6	5.79041 -276.455 84.9415
7	28.0521 -289.926 89.0805
8	50.1983 -302.181 92.8459
9	72.165 -313.345 96.2759
10	93.9069 -323.526 99.4042
11	115.393 -332.823 102.261
12	136.603 -341.321 104.872
13	157.525 -349.095 107.26
14	178.15 -356.212 109.447
15	198.476 -362.729 111.449
16	218.503 -368.7 113.284
17	238.234 -374.169 114.964
18	257.672 -379.177 116.503
19	276.821 -383.761 117.912
20	295.688 -387.953 119.2
21	314.278 -391.782 120.376
22	332.599 -395.275 121.449
23	350.656 -398.454 122.426
24	368.456 -401.341 123.313
25	386.006 -403.955 124.116
26	403.313 -406.315 124.841
27	420.382 -408.435 125.492
28	437.22 -410.33 126.075
29	453.833 -412.014 126.592
30	470.227 -413.5 127.049
31	486.407 -414.797 127.447
32	502.38 -415.918 127.792
33	518.15 -416.87 128.084
34	533.723 -417.664 128.328
35	549.103 -418.306 128.526
36	564.295 -418.806 128.679
37	579.304 -419.17 128.791
38	594.135 -419.405 128.863
39	608.79 -419.516 128.897
40	623.276 -419.509 128.895
41	637.594 -419.391 128.859
42	651.75 -419.165 128.79
43	665.747 -418.837 128.689
44	679.588 -418.412 128.558
45	693.277 -417.892 128.398
46	706.817 -417.282 128.211
47	720.21 -416.587 127.997
48	733.461 -415.808 127.758
49	746.572 -414.951 127.495
50	759.546 -414.016 127.208
51	772.385 -413.009 126.898
52	785.092 -411.931 126.567
53	797.67 -410.785 126.215
54	810.121 -409.574 125.843
55	822.448 -408.3 125.451
56	834.652 -406.965 125.041
57	846.736 -405.572 124.613
58	858.702 -404.122 124.167
59	870.552 -402.617 123.705
60	882.288 -401.06 123.227
61	893.912 -399.452 122.733
62	905.426 -397.795 122.223
63	916.832 -396.09 121.7
64	928.131 -394.339 121.162
65	939.325 -392.543 120.61
66	950.416 -390.705 120.045
67	961.406 -388.824 119.467
68	972.295 -386.903 118.877
69	983.086 -384.943 118.275
70	993.78 -382.945 117.661
71	1004.38 -380.91 117.036
72	1014.88 -378.84 116.399
73	1025.29 -376.734 115.752
74	1035.61 -374.595 115.095
75	1045.84 -372.423 114.428
76	1055.98 -370.22 113.751
77	1066.03 -367.986 113.065
78	1076 -365.722 112.369
79	1085.88 -363.429 111.664
80	1095.68 -361.107 110.951
81	1105.39 -358.758 110.229
82	1115.02 -356.383 109.499
83	1124.57 -353.981 108.762
84	1134.04 -351.554 108.016
85	1143.43 -349.103 107.263
86	1152.74 -346.628 106.502
87	1161.97 -344.129 105.735
88	1171.13 -341.608 104.96
89	1180.21 -339.065 104.179
90	1189.22 -336.501 103.391
91	1198.15 -333.915 102.596
92	1207.01 -331.309 101.796
93	1215.8 -328.684 100.989
94	1224.52 -326.039 100.176
95	1233.17 -323.375 99.3578
96	1241.74 -320.693 98.5337
97	1250.25 -317.993 97.7042
98	1258.69 -315.276 96.8693
99	1267.06 -312.542 96.0292
100	1275.37 -309.791 95.1841
101	1283.61 -307.025 94.334
102	1291.78 -304.242 93.4791
103	1299.89 -301.444 92.6195
104	1307.93 -298.632 91.7553
105	1315.91 -295.804 90.8866
106	1323.83 -292.963 90.0136
107	1331.68 -290.108 89.1363
108	1339.47 -287.239 88.2549
109	1347.21 -284.357 87.3695
110	1354.88 -281.463 86.4801
111	1362.49 -278.556 85.5869
112	1370.04 -275.636 84.6899
113	1377.53 -272.705 83.7893
114	1384.96 -269.762 82.8851
115	1392.34 -266.808 81.9775
116	1399.66 -263.843 81.0664
117	1406.92 -260.867 80.1521
118	1414.12 -257.881 79.2345
119	1421.27 -254.884 78.3138
120	1428.36 -251.878 77.39
121	1435.4 -248.861 76.4632
122	1442.38 -245.836 75.5336
123	1449.31 -242.801 74.601
124	1456.18 -239.756 73.6657
125	1463 -236.704 72.7277
126	1469.77 -233.642 71.7871
127	1476.49 -230.572 70.8439
128	1483.15 -227.494 69.8982
129	1489.76 -224.408 68.95
130	1496.32 -221.315 67.9995
131	1502.83 -218.214 67.0466
132	1509.29 -215.105 66.0915
133	1515.7 -211.989 65.1342
134	1522.05 -208.867 64.1747
135	1528.36 -205.737 63.2132
136	1534.62 -202.601 62.2496
137	1540.83 -199.458 61.2841
138	1546.99 -196.31 60.3166
139	1553.11 -193.155 59.3472
140	1559.17 -189.994 58.376
141	1565.19 -186.827 57.403
142	1571.16 -183.655 56.4283
143	1577.09 -180.477 55.4519
144	1582.97 -177.294 54.4739
145	1588.8 -174.105 53.4942
146	1594.58 -170.912 52.5131
147	1600.32 -167.714 51.5304
148	1606.02 -164.511 50.5462
149	1611.67 -161.303 49.5607
150	1617.27 -158.091 48.5737
151	1622.83 -154.874 47.5855
152	1628.35 -151.653 46.5959
153	1633.82 -148.429 45.605
154	1639.24 -145.2 44.613
155	1644.63 -141.967 43.6197
156	1649.97 -138.731 42.6254
157	1655.27 -135.491 41.6299
158	1660.52 -132.247 40.6333
159	1665.74 -129 39.6357
160	1670.91 -125.75 38.6371
161	1676.04 -122.497 37.6375
162	1681.12 -119.241 36.6369
163	1686.17 -115.981 35.6355
164	1691.17 -112.719 34.6332
165	1696.13 -109.454 33.6301
166	1701.06 -106.187 32.6261
167	1705.94 -102.917 31.6214
168	1710.78 -99.6441 30.6159
169	1715.58 -96.3692 29.6097
170	1720.34 -93.0921 28.6028
171	1725.06 -89.8129 27.5952
172	1729.74 -86.5316 26.587
173	1734.38 -83.2483 25.5782
174	1738.99 -79.9631 24.5688
175	1743.55 -76.6761 23.5589
176	1748.08 -73.3875 22.5485
177	1752.56 -70.0972 21.5375
178	1757.01 -66.8054 20.5261
179	1761.42 -63.5121 19.5142
180	1765.79 -60.2174 18.5019
181	1770.12 -56.9215 17.4893
182	1774.42 -53.6243 16.4762
183	1778.68 -50.326 15.4628
184	1782.9 -47.0267 14.4491
185	1787.08 -43.7263 13.435
186	1791.23 -40.4251 12.4207
187	1795.34 -37.123 11.4061
188	1799.41 -33.8202 10.3913
189	1803.45 -30.5167 9.37632
190	1807.45 -27.2125 8.36112
191	1811.41 -23.9079 7.34575
192	1815.34 -20.6027 6.33023
193	1819.23 -17.2971 5.31459
194	1823.09 -13.9912 4.29884
195	1826.91 -10.6851 3.28301
196	1830.7 -7.37869 2.26712
197	1834.45 -4.07216 1.25118
198	1838.16 -0.765561 0.23522
199	1841.84 2.54106 -0.780745
